"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Rampage","316985$26.70%317.0k","10","31.7k","40","7.9k","30.0%","-","-","2,201.0",""
"Rampage","316985$8.01%95.1k","10","9.5k","10","9.5k","60.0%","-","-","660.6",""
"Rampage","316985$7.34%87.1k","10","8.7k","10","8.7k","20.0%","-","-","605.0",""
"Rampage","316985$6.41%76.1k","10","7.6k","10","7.6k","20.0%","-","-","528.2",""
"Rampage","316985$4.94%58.6k","10","5.9k","10","5.9k","20.0%","-","-","407.0",""
"Melee","219175$18.46%219.2k","48","4.6k","42","5.2k","40.5%","-","12.50%","1,521.8",""
"Raging Blow","214926$18.10%214.9k","18","11.9k","36","6.0k","27.8%","-","-","1,492.3",""
"Raging Blow","214926$12.22%145.1k","18","8.1k","18","8.1k","27.8%","-","-","1,007.6",""
"Raging Blow","214926$5.88%69.8k","18","3.9k","18","3.9k","27.8%","-","-","484.7",""
"Bloodthirst","152254$12.82%152.3k","15","10.2k","15","10.2k","40.0%","-","-","1,057.2",""
"Lethal Strikes","89401$7.53%89.4k","-","-","2","44.7k","100.0%","-","-","620.7",""
"Reckless Flurry","64182$5.41%64.2k","-","-","42","1.5k","35.7%","-","-","445.6",""
"Whirlwind","39371$3.32%39.4k","7","5.6k","42","937.4","52.4%","-","-","273.4",""
"Whirlwind","39371$2.27%26.9k","7","3.8k","21","1.3k","61.9%","-","-","186.8",""
"Whirlwind Off-Hand","39371$1.05%12.5k","7","1.8k","21","593.6","42.9%","-","-","86.6",""
"Ancient Flame","33787$2.85%33.8k","-","-","14","2.4k","21.4%","19.46%","-","234.6",""
"Heed My Call","29221$2.46%29.2k","-","-","3","9.7k","33.3%","-","-","202.9",""
"Concentrated Flame","16890$1.42%16.9k","1","16.9k","1","16.9k","-","-","-","117.3",""
"Heed My Call","9394$0.79%9.4k","-","-","3","3.1k","-","-","-","65.2",""
"Charge","1749$0.15%1.7k","-","-","1","1.7k","100.0%","-","-","12.1",""
